# peak=2
#\ t=10
#\ V=420


# 2theta(angle in degrees) / N(in counts)

#! theta[f, 0]/ N[f,1]/

59.0000 75
59.1667 117
59.3333 181
59.5000 169
59.6667 226
59.8333 188
60.0000 165
60.1667 135
60.3333 95
60.5000 70
60.6667 65
60.8333 78
61.0000 49

66.0000 100
66.1667 154
66.3333 310
66.5000 467
66.6667 673
66.8333 749
67.0000 687
67.1667 558
67.3333 507
67.5000 385
67.6667 208
67.8333 140
68.0000 103


