# peak=3
#\ t=30
#\ V=420


# 2theta(angle in degrees) / N(in counts)

#! theta[f, 0]/ N[f,1]/

95.0000 216
95.3333 240
95.6667 297
96.0000 290
96.3333 222
96.6667 188
97.0000 181

108.0000 214
108.3333 238
108.6667 205
109.0000 202
109.3333 237
109.6667 287
110.0000 513
110.3333 798
110.6667 671
111.0000 543
111.3333 369
111.6667 257
112.0000 258
112.3333 246
